"Relative Time","Hits"
"00:00","0"
"00:04","1"
"00:08","0"
"00:12","0"
"00:16","0"
"00:20","0"
"00:24","0"
"00:28","1"
"00:32","0"
"00:36","1"
"00:40","0"
"00:44","1.5"
"00:48","0.5"
"00:52","0"
"00:56","0"
"01:00","0.25"
"01:04","0"
"01:08","0.5"
"01:12","1"
"01:16","0"
"01:20","0.5"
"01:24","0.75"
"01:28","0.5"
"01:32","0.5"
"01:36","0"
"01:40","0.25"
"01:44","0"
"01:48","0"
"01:52","0"
"01:56","0.25"
"02:00","0"
"02:04","0.25"
"02:08","0"
"02:12","0.25"
"02:16","0"
"02:20","1"
"02:24","0"
"02:28","0"
"02:32","0.25"
"02:36","0"
"02:40","0"
"02:44","1"
"02:48","0"
"02:52","1"
"02:56","0.25"
"03:00","1"
"03:04","0.5"
"03:08","0"
"03:12","0.25"
"03:16","0"
"03:20","0"
"03:24","0"
"03:28","0.25"
"03:32","0"
"03:36","0.25"
"03:40","0"
"03:44","0.25"
"03:48","0"
