"Relative Time","Throughput"
"00:00","0"
"00:04","4766"
"00:08","0"
"00:12","0"
"00:16","0"
"00:20","0"
"00:24","0"
"00:28","4766"
"00:32","0"
"00:36","4768"
"00:40","0"
"00:44","4770"
"00:48","1373"
"00:52","0"
"00:56","0"
"01:00","504.75"
"01:04","0"
"01:08","0"
"01:12","1373"
"01:16","0"
"01:20","1377"
"01:24","504.75"
"01:28","1369"
"01:32","505.75"
"01:36","202.75"
"01:40","505.75"
"01:44","0"
"01:48","0"
"01:52","0"
"01:56","0"
"02:00","201.75"
"02:04","0"
"02:08","200.75"
"02:12","0"
"02:16","200.75"
"02:20","4794.25"
"02:24","0"
"02:28","0"
"02:32","505.75"
"02:36","0"
"02:40","0"
"02:44","4791.25"
"02:48","0"
"02:52","4790.25"
"02:56","506.75"
"03:00","4791.25"
"03:04","707.5"
"03:08","0"
"03:12","506.75"
"03:16","0"
"03:20","0"
"03:24","0"
"03:28","200.75"
"03:32","0"
"03:36","201.75"
"03:40","0"
"03:44","200.75"
"03:48","0"
