"Relative Time","Hits"
"00:00","0.438"
"00:16","0.438"
"00:32","0.438"
"00:48","0.438"
"01:04","0.5"
"01:20","0.5"
"01:36","0.938"
"01:52","0.063"
"02:08","0.063"
"02:24","0.938"
"02:40","0.75"
"02:56","1.25"
"03:12","0.688"
"03:28","0.688"
"03:44","0.688"
"04:00","0.688"
"04:16","0.25"
"04:32","0.5"
"04:48","0.25"
"05:04","0.25"
"05:20","0.25"
"05:36","0.25"
"05:52","0.25"
"06:08","0.063"
"06:24","0.063"
"06:40","0.063"
"06:56","0.063"
"07:12","0.75"
"07:28","0.188"
"07:44","1.188"
"08:00","0.688"
"08:16","0.688"
"08:32","0"
"08:48","0"
"09:04","0.25"
"09:20","0"
"09:36","0.5"
"09:52","0.25"
"10:08","0.4"
