"Relative Time","Throughput"
"00:00","11653.63"
"00:16","11653.38"
"00:32","11653.56"
"00:48","11653.56"
"01:04","11846.31"
"01:20","11846.25"
"01:36","23500"
"01:52","192.688"
"02:08","192.438"
"02:24","6579.438"
"02:40","6579.625"
"02:56","12965.5"
"03:12","6386.875"
"03:28","6386.125"
"03:44","6387.063"
"04:00","6386.75"
"04:16","198.563"
"04:32","395.75"
"04:48","0"
"05:04","197.938"
"05:20","198.125"
"05:36","198.125"
"05:52","396.625"
"06:08","192.5"
"06:24","192.75"
"06:40","192.688"
"06:56","192.688"
"07:12","7054.938"
"07:28","818.188"
"07:44","12905.38"
"08:00","6862.063"
"08:16","6861.688"
"08:32","0"
"08:48","0"
"09:04","198.063"
"09:20","0"
"09:36","396.688"
"09:52","198.75"
"10:08","317.2"
