"Relative Time","Action_Transaction","Dynamic_Id_Transaction","Dynamic_Table_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","","","2.159"
"00:12","","","","","2.184"
"00:30","","","","","2.151"
"00:42","","","","","2.161"
"01:00","","","","","2.184"
"01:12","0.39","","","","2.247"
"01:24","0.367","","","",""
"01:30","","","","","2.17"
"01:42","0.454","","","","2.222"
"01:54","0.36","","","",""
"02:12","0.371","","","",""
"02:24","0.363","1.312","","",""
"02:36","","1.304","","",""
"02:42","0.401","","","",""
"02:48","","1.296","","",""
"02:54","0.365","","","",""
"03:06","","1.377","","",""
"03:18","","1.368","","",""
"03:36","","1.294","","",""
"03:48","","1.309","","",""
"04:06","","1.322","","",""
"04:18","","","1.067","0",""
"04:30","","","0.92","0",""
"04:42","","","0.943","0",""
"05:00","","","0.901","",""
"05:12","","","0.941","",""
"05:30","","","0.926","",""
"05:42","","","1.078","",""
"06:00","","","0.936","",""
"06:06","0.378","","","",""
"06:24","0.384","","","",""
"06:36","0.372","","","",""
"06:54","0.379","","","",""
"07:12","0.415","","","",""
"07:18","","1.409","","",""
"07:42","","7.22","","",""
"07:48","","1.422","","",""
"08:06","","1.298","","",""
"08:18","","1.305","","",""
"09:12","","","0.921","0",""
"09:36","","","0.951","0",""
"09:48","","","3.123","0",""
"10:00","","","0.924","0",""
"10:12","","","0.94","0",""
