"Relative Time","Action_Transaction:Pass","Dynamic_Id_Transaction:Pass","Dynamic_Table_Transaction:Pass","vuser_end_Transaction:Pass","vuser_init_Transaction:Pass"
"00:00","0","0","0","0","0.063"
"00:16","0","0","0","0","0.063"
"00:32","0","0","0","0","0.125"
"00:48","0","0","0","0","0.063"
"01:04","0.063","0","0","0","0.063"
"01:20","0.063","0","0","0","0.063"
"01:36","0.063","0","0","0","0.063"
"01:52","0.063","0","0","0","0"
"02:08","0.063","0","0","0","0"
"02:24","0.063","0.125","0","0","0"
"02:40","0.063","0.063","0","0","0"
"02:56","0.063","0.063","0","0","0"
"03:12","0","0.063","0","0","0"
"03:28","0","0.063","0","0","0"
"03:44","0","0.063","0","0","0"
"04:00","0","0.063","0","0","0"
"04:16","0","0","0.063","0.063","0"
"04:32","0","0","0.125","0.125","0"
"04:48","0","0","0.063","0","0"
"05:04","0","0","0.063","0","0"
"05:20","0","0","0.063","0","0"
"05:36","0","0","0.063","0","0"
"05:52","0","0","0.063","0","0"
"06:08","0.063","0","0","0","0"
"06:24","0.063","0","0","0","0"
"06:40","0.063","0","0","0","0"
"06:56","0.063","0","0","0","0"
"07:12","0.063","0.063","0","0","0"
"07:28","0","0.063","0","0","0"
"07:44","0","0.063","0","0","0"
"08:00","0","0.063","0","0","0"
"08:16","0","0.063","0","0","0"
"08:32","0","0","0","0","0"
"08:48","0","0","0","0","0"
"09:04","0","0","0.063","0.063","0"
"09:20","0","0","0","0","0"
"09:36","0","0","0.125","0.125","0"
"09:52","0","0","0.063","0.063","0"
"10:08","0","0","0.1","0.1","0"
